"Gene","Protein","Protein names","UniProt Localization","HPA Localization","OpenCell Localization","SimChrom Category","SimChrom-SL Category","MS-based studies","Abundance, ppm","PFAM"
"undefinedINSM1","Q01101","Insulinoma-associated protein 1","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.727","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedINSM2","Q96T92","Insulinoma-associated protein 2","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.05","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedIRF1","P10914","Interferon regulatory factor 1","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.99","IRF(Interferon regulatory factor transcription factor,PF00605)"
"undefinedIRF2","P14316","Interferon regulatory factor 2","null","Cell Junctions (Supported), Cytosol (Enhanced), Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016","5.84","IRF(Interferon regulatory factor transcription factor,PF00605)"
"undefinedIRF3","Q14653","Interferon regulatory factor 3","Cytoplasm (ECO:0000269), Cytoplasm (ECO:0000305), Mitochondrion (ECO:0000269), Nucleus (ECO:0000269), Nucleus (ECO:0000305)","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014","9.62","IRF(Interferon regulatory factor transcription factor,PF00605);IRF-3(Interferon-regulatory factor 3,PF10401)"
"undefinedIRF4","Q15306","Interferon regulatory factor 4","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","15.2","IRF(Interferon regulatory factor transcription factor,PF00605);IRF-3(Interferon-regulatory factor 3,PF10401)"
"undefinedIRF5","Q13568","Interferon regulatory factor 5","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","4.02","IRF(Interferon regulatory factor transcription factor,PF00605);IRF-3(Interferon-regulatory factor 3,PF10401)"
"undefinedIRF6","O14896","Interferon regulatory factor 6","Cytoplasm (ECO:0000269), Nucleus (ECO:0000305)","Cytosol (Enhanced), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","16.1","IRF(Interferon regulatory factor transcription factor,PF00605);IRF-3(Interferon-regulatory factor 3,PF10401)"
"undefinedIRF7","Q92985","Interferon regulatory factor 7","null","Cytosol (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.45","IRF(Interferon regulatory factor transcription factor,PF00605);IRF-3(Interferon-regulatory factor 3,PF10401)"
"undefinedIRF8","Q02556","Interferon regulatory factor 8","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","2.11","IRF(Interferon regulatory factor transcription factor,PF00605);IRF-3(Interferon-regulatory factor 3,PF10401)"
"undefinedIRF9","Q00978","Interferon regulatory factor 9","Cytoplasm (ECO:0000269), Nucleus (ECO:0000269)","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","11.8","IRF(Interferon regulatory factor transcription factor,PF00605);IRF-3(Interferon-regulatory factor 3,PF10401)"
"undefinedIRX1","P78414","Iroquois-class homeodomain protein IRX-1","Nucleus (ECO:0000305)","Golgi apparatus (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.532","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedIRX2","Q9BZI1","Iroquois-class homeodomain protein IRX-2","Nucleus (ECO:0000255)","Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.88","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedIRX3","P78415","Iroquois-class homeodomain protein IRX-3","Nucleus (ECO:0000305)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.338","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedIRX4","P78413","Iroquois-class homeodomain protein IRX-4","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.117","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedIRX5","P78411","Iroquois-class homeodomain protein IRX-5","Nucleus (ECO:0000305)","Cytosol (Approved), Microtubules (Approved), Nuclear speckles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","4.99","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedIRX6","P78412","Iroquois-class homeodomain protein IRX-6","Nucleus (ECO:0000305)","Mitochondria (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.131","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedISL1","P61371","Insulin gene enhancer protein ISL-1","Nucleus (ECO:0000250)","Mitochondria (Approved), Nuclear speckles (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.153","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedISL2","Q96A47","Insulin gene enhancer protein ISL-2","Nucleus (ECO:0000255)","Rods & Rings (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.404","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedISX","Q2M1V0","Intestine-specific homeobox","Nucleus (ECO:0000255)","Nuclear bodies (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.037","Homeodomain(Homeodomain,PF00046)"
"undefinedJDP2","Q8WYK2","Jun dimerization protein 2","Nucleus (ECO:0000305)","Nuclear speckles (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","1.06","null"
"undefinedJPH2","Q9BR39","Junctophilin-2","Cell membrane (ECO:0000250), Endoplasmic reticulum membrane (ECO:0000250), Nucleus (ECO:0000269), Sarcoplasmic reticulum membrane (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","4.13","null"
"undefinedJUN","P05412","Transcription factor Jun","null","Nucleoplasm (Enhanced)","chromatin (annotations_grade_2), nucleoplasm (annotations_grade_3)","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Euchromatin-associated","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016","10.2","Jun(Jun-like transcription factor,PF03957)"
"undefinedJUNB","P17275","Transcription factor JunB","null","Nucleoplasm (Supported)","chromatin (annotations_grade_3), nucleoplasm (annotations_grade_2)","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014","10.3","Jun(Jun-like transcription factor,PF03957)"
"undefinedJUND","P17535","Transcription factor JunD","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Shi et al., 2021","11.1","Jun(Jun-like transcription factor,PF03957)"
"undefinedKAT2A","Q92830","Histone acetyltransferase KAT2A","Centrosome (ECO:0000269), Chromosome (ECO:0000269), Nucleus (ECO:0000269)","null","null","Histone modification, Histone PTM writers, DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Kustatscher et al., 2014; Ugur et al., 2023","0.876","PCAF_N(PCAF (P300/CBP-associated factor) N-terminal domain,PF06466);Acetyltransf_1(Acetyltransferase (GNAT) family,PF00583);Bromodomain(Bromodomain,PF00439)"
"undefinedKCNIP3","Q9Y2W7","Calsenilin","Cell membrane (ECO:0000269), Cytoplasm (ECO:0000269), Endoplasmic reticulum (ECO:0000269), Golgi apparatus (ECO:0000269), Nucleus (ECO:0000269)","Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.01","EF-hand_8(EF-hand domain pair,PF13833);EF-hand_7(EF-hand domain pair,PF13499)"
"undefinedKLF1","Q13351","Krueppel-like factor 1","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.092","EKLF_TAD2(Erythroid krueppel-like transcription factor, transactivation 2,PF16833);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF10","Q13118","Krueppel-like factor 10","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","0.398","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF11","O14901","Krueppel-like factor 11","Nucleus (ECO:0000269)","Cytosol (Approved), Focal adhesion sites (Approved), Nuclear bodies (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.024","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF12","Q9Y4X4","Krueppel-like factor 12","null","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016; Ugur et al., 2023","1.12","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF13","Q9Y2Y9","Krueppel-like factor 13","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","1.04","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF14","Q8TD94","Krueppel-like factor 14","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF15","Q9UIH9","Krueppel-like factor 15","Nucleus (ECO:0000269)","Nuclear speckles (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF16","Q9BXK1","Krueppel-like factor 16","Nucleus (ECO:0000250)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","9.98","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF17","Q5JT82","Krueppel-like factor 17","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF18","A0A0U1RQI7","Kruppel-like factor 18","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF2","Q9Y5W3","Krueppel-like factor 2","Nucleus (ECO:0000250)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","2.08","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF3","P57682","Krueppel-like factor 3","Nucleus (ECO:0000305)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","11.6","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF4","O43474","Krueppel-like factor 4","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Pioneer TFs, Euchromatin-associated","Pioneer TFs","Alabert et al., 2014; Itzhak et al., 2016","0.687","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF5","Q13887","Krueppel-like factor 5","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014; Torrente et al., 2011","1.97","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF6","Q99612","Krueppel-like factor 6","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.309","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF7","O75840","Krueppel-like factor 7","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.067","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF8","O95600","Krueppel-like factor 8","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.021","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedKLF9","Q13886","Krueppel-like factor 9","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.221","zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
"undefinedLBX1","P52954","Transcription factor LBX1","Nucleus (ECO:0000305)","Cytosol (Approved), Nuclear bodies (Approved), Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.014","Homeodomain(Homeodomain,PF00046)"
"undefinedLBX2","Q6XYB7","Transcription factor LBX2","Nucleus (ECO:0000255)","Midbody (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedLEF1","Q9UJU2","Lymphoid enhancer-binding factor 1","Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, HMG, Other families with HMG-box domain","Other families with HMG-box domain","null","1.34","CTNNB1_binding(N-terminal CTNNB1 binding,PF08347);HMG_box(HMG (high mobility group) box,PF00505)"
"undefinedLEUTX","A8MZ59","Paired-like homeodomain transcription factor LEUTX","Nucleus (ECO:0000269)","Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedLHX1","P48742","LIM/homeobox protein Lhx1","Nucleus (ECO:0000305)","Golgi apparatus (Approved), Nuclear membrane (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.105","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLHX2","P50458","LIM/homeobox protein Lhx2","Nucleus (ECO:0000305)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.082","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLHX3","Q9UBR4","LIM/homeobox protein Lhx3","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.01","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLHX4","Q969G2","LIM/homeobox protein Lhx4","Nucleus (ECO:0000255)","Nuclear speckles (Approved)","null","Methylated DNA binding, DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Methylated DNA binding","null","0.008","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLHX5","Q9H2C1","LIM/homeobox protein Lhx5","Nucleus (ECO:0000305)","Cytosol (Approved), Nuclear bodies (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.097","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLHX6","Q9UPM6","LIM/homeobox protein Lhx6","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLHX8","Q68G74","LIM/homeobox protein Lhx8","Nucleus (ECO:0000305)","Cytosol (Approved), Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLHX9","Q9NQ69","LIM/homeobox protein Lhx9","Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.008","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLITAF","Q99732","Lipopolysaccharide-induced tumor necrosis factor-alpha factor","Cell membrane (ECO:0000269), Cytoplasm (ECO:0000269), Early endosome membrane (ECO:0000269), Endosome membrane (ECO:0000269), Golgi apparatus membrane (ECO:0000269), Late endosome membrane (ECO:0000269), Lysosome membrane (ECO:0000269), Nucleus (ECO:0000269)","Golgi apparatus (Supported), Nucleoplasm (Supported), Vesicles (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","1.92","zf-LITAF-like(LITAF-like zinc ribbon domain,PF10601)"
"undefinedLMX1A","Q8TE12","LIM homeobox transcription factor 1-alpha","Nucleus (ECO:0000255)","Golgi apparatus (Approved), Nucleoplasm (Approved), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.15","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLMX1B","O60663","LIM homeobox transcription factor 1-beta","Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.976","LIM(LIM domain,PF00412);LIM(LIM domain,PF00412);Homeodomain(Homeodomain,PF00046)"
"undefinedLRRFIP1","Q32MZ4","Leucine-rich repeat flightless-interacting protein 1","null","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Ginno et al., 2018; Shi et al., 2021","93.1","LRRFIP(LRRFIP family,PF09738)"
"undefinedLYL1","P12980","Protein lyl-1","Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.2","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMAF","O75444","Transcription factor Maf","Nucleus (ECO:0000255)","Nuclear bodies (Approved), Nucleoplasm (Approved), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.015","Maf_N(Maf N-terminal region,PF08383)"
"undefinedMAFA","Q8NHW3","Transcription factor MafA","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Maf_N(Maf N-terminal region,PF08383)"
"undefinedMAFB","Q9Y5Q3","Transcription factor MafB","Nucleus (ECO:0000255)","Cytosol (Approved), Golgi apparatus (Approved), Nucleoli (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.402","Maf_N(Maf N-terminal region,PF08383)"
"undefinedMAFF","Q9ULX9","Transcription factor MafF","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Torrente et al., 2011; Ugur et al., 2023","2.84","null"
"undefinedMAFG","O15525","Transcription factor MafG","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016; Shi et al., 2021; Ugur et al., 2023","4.05","null"
"undefinedMAFK","O60675","Transcription factor MafK","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016","4.61","null"
"undefinedMAX","P61244","Protein max","Dendrite (ECO:0000250)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Shi et al., 2021; Ugur et al., 2023","15.2","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedMAZ","P56270","Myc-associated zinc finger protein","Nucleus (ECO:0000305)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Kustatscher et al., 2014; Ugur et al., 2023","17.8","zf-C2H2_6(C2H2-type zinc finger,PF13912);zf-C2H2(Zinc finger, C2H2 type,PF00096);zf-C2H2_4(C2H2-type zinc finger,PF13894);zf-C2H2(Zinc finger, C2H2 type,PF00096)"
